0,Header,0001964b,0000000000000000000000000000000000000000,000003ed4b0c301e8347a2beaeeaa43b7a4932d2
1,wcyang2022-12-22-18-38-2213.pdf,0000f1ea,000003ed4b0c301e8347a2beaeeaa43b7a4932d2,0669f5f8ebfe531c932c4c9e3a98f24a6a8a1a4c
2,wcyang2022-12-22-18-40-0724.pdf,00025a9e,0669f5f8ebfe531c932c4c9e3a98f24a6a8a1a4c,2b2f0bdea4810b2590f3884bc15f148eee3e0d70
3,yyy2022-12-22-18-40-5529.pdf,0000bf4d,2b2f0bdea4810b2590f3884bc15f148eee3e0d70,5d37dcaa4a1a786de881c7087abeb9fc935aa979
4,yyy2022-12-22-18-44-441.pdf,00016143,5d37dcaa4a1a786de881c7087abeb9fc935aa979,375fe0fe9cf60ca8c06d939440169136a4251b14
5,yyy2022-12-22-18-45-1028.pdf,00008780,375fe0fe9cf60ca8c06d939440169136a4251b14,e95c7e3799e171f2df35dbaaff709214818b0ced
6,wcyang2022-12-22-18-46-3223.pdf,00003434,e95c7e3799e171f2df35dbaaff709214818b0ced,1889256fceb2a48fe568cdcefddada23bd3e5eec
7,yyy資工系教授2022-12-25-23-39-4720.pdf,00007f2e,1889256fceb2a48fe568cdcefddada23bd3e5eec,dbeb60523ebebf08245e19c0e8cbb9ff356adcc6
8,5A111資工系教授2022-12-25-23-45-2816.pdf,00002bfc,dbeb60523ebebf08245e19c0e8cbb9ff356adcc6,8035e5f7756ac2fe053d61e4d0483af2b50d5687
9,54321資工系教授2022-12-26-13-35-3914.pdf,000117bf,8035e5f7756ac2fe053d61e4d0483af2b50d5687,927a46d1d9e4ea26d4e2e8674e818ba0921da338
10,yyy2023-01-08-20-16-3913.pdf,00001a9a,927a46d1d9e4ea26d4e2e8674e818ba0921da338,67ef5449cfa947a161e94fae1b54c263967f2f86
